,DATE,carModel,trend
6,2018-07-28,D-MAX,12237.083333333332
7,2018-08-28,D-MAX,12099.875
8,2018-09-28,D-MAX,12043.875
9,2018-10-28,D-MAX,11926.958333333332
10,2018-11-28,D-MAX,11826.125
11,2018-12-28,D-MAX,11788.583333333332
12,2019-01-28,D-MAX,11701.458333333332
13,2019-02-28,D-MAX,11618.708333333332
14,2019-03-28,D-MAX,11543.041666666666
15,2019-04-28,D-MAX,11496.833333333332
16,2019-05-28,D-MAX,11601.708333333332
17,2019-06-28,D-MAX,11785.041666666666
18,2019-07-28,D-MAX,11852.375
19,2019-08-28,D-MAX,11824.416666666666
20,2019-09-28,D-MAX,11825.291666666666
21,2019-10-28,D-MAX,11780.5
22,2019-11-28,D-MAX,11504.25
23,2019-12-28,D-MAX,11189.25
24,2020-01-28,D-MAX,11134.916666666666
25,2020-02-28,D-MAX,11221.749999999998
26,2020-03-28,D-MAX,11398.583333333332
27,2020-04-28,D-MAX,11616.708333333332
28,2020-05-28,D-MAX,11830.541666666666
29,2020-06-28,D-MAX,12076.458333333332
30,2020-07-28,D-MAX,12361.125
31,2020-08-28,D-MAX,12554.208333333332
32,2020-09-28,D-MAX,12674.541666666666
33,2020-10-28,D-MAX,12839.416666666666
34,2020-11-28,D-MAX,13146.291666666666
35,2020-12-28,D-MAX,13475.041666666666
36,2021-01-28,D-MAX,13487.291666666666
37,2021-02-28,D-MAX,13267.041666666666
38,2021-03-28,D-MAX,13024.416666666666
39,2021-04-28,D-MAX,12760.833333333332
40,2021-05-28,D-MAX,12569.083333333332
41,2021-06-28,D-MAX,12478.916666666666
42,2021-07-28,D-MAX,12346.0
43,2021-08-28,D-MAX,12245.25
44,2021-09-28,D-MAX,12295.416666666664
45,2021-10-28,D-MAX,12469.041666666664
46,2021-11-28,D-MAX,12707.874999999998
47,2021-12-28,D-MAX,12993.916666666666
48,2022-01-28,D-MAX,13323.75
49,2022-02-28,D-MAX,13787.25
50,2022-03-28,D-MAX,14405.708333333332
51,2022-04-28,D-MAX,14861.541666666666
6,2018-07-28,Hilux Revo,9660.5
7,2018-08-28,Hilux Revo,9212.958333333332
8,2018-09-28,Hilux Revo,8975.041666666666
9,2018-10-28,Hilux Revo,8809.25
10,2018-11-28,Hilux Revo,8722.875
11,2018-12-28,Hilux Revo,8802.083333333332
12,2019-01-28,Hilux Revo,8975.291666666666
13,2019-02-28,Hilux Revo,9260.458333333332
14,2019-03-28,Hilux Revo,9632.375
15,2019-04-28,Hilux Revo,10040.25
16,2019-05-28,Hilux Revo,10508.208333333332
17,2019-06-28,Hilux Revo,11032.666666666666
18,2019-07-28,Hilux Revo,11235.583333333332
19,2019-08-28,Hilux Revo,11046.333333333332
20,2019-09-28,Hilux Revo,10769.583333333332
21,2019-10-28,Hilux Revo,10439.25
22,2019-11-28,Hilux Revo,10054.0
23,2019-12-28,Hilux Revo,9603.166666666666
24,2020-01-28,Hilux Revo,9070.708333333332
25,2020-02-28,Hilux Revo,8263.791666666666
26,2020-03-28,Hilux Revo,7313.5
27,2020-04-28,Hilux Revo,6330.625
28,2020-05-28,Hilux Revo,5317.833333333334
29,2020-06-28,Hilux Revo,4372.375
30,2020-07-28,Hilux Revo,3574.333333333333
31,2020-08-28,Hilux Revo,2929.9166666666665
32,2020-09-28,Hilux Revo,2336.625
33,2020-10-28,Hilux Revo,1817.9166666666665
34,2020-11-28,Hilux Revo,1388.4166666666665
35,2020-12-28,Hilux Revo,926.6249999999999
36,2021-01-28,Hilux Revo,516.4166666666666
37,2021-02-28,Hilux Revo,295.5
38,2021-03-28,Hilux Revo,188.79166666666666
39,2021-04-28,Hilux Revo,129.625
40,2021-05-28,Hilux Revo,90.5
41,2021-06-28,Hilux Revo,70.54166666666666
42,2021-07-28,Hilux Revo,61.041666666666664
43,2021-08-28,Hilux Revo,51.12499999999999
44,2021-09-28,Hilux Revo,44.416666666666664
45,2021-10-28,Hilux Revo,39.916666666666664
